Symbol,BUY DATE,SELL DATE,QUANTITY,AVG COST,TOTAL COST,SOLD FOR,(sub sold for),AV COST SOLD,PROFIT $,PROFIT %,,,,,,,,,
ABCB,06-21-2024 9:09,,7.694,47.68,366.84992,,366.84992,not sold,not sold,not sold,,TOTAL,,,,,,,
HESM,06-20-2024,06-25-2024,2,35.77,71.54,73.4,73.4,36.7,1.86,0.02599944087,,BUY,SELL,PROFIT $,%,,,gme drs,
BRACU,06-20-2024,06-24-2024 14:18,5.983,12.03,71.97549,65.5564,65.5564,10.95711182,-6.41909,-0.08918438763,,6759.18142,6754.62233,-4.55909,-0.0006745032744,,,t4176o00167,280 shares
EW,06-24-2024 9:22,,20,90.9,1818,,1818,not sold,not sold,not sold,,,,,,,,,
DRD,06-24-2024 9:15,,30,8.07,242.1,,242.1,not sold,not sold,not sold,,,,,,,,,
R,06-24-2024 9:27,,20,123,2460,,2460,not sold,not sold,not sold,,,,,,,,,
BLK,06-24-2024 10:03,,0.35,793.47,277.7145,,277.7145,not sold,not sold,not sold,,,,,,,,,
IGD,06-25-2024 14:02,,279.846,5.185,1451.00151,,1451.00151,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,0,,0,not sold,not sold,not sold,,,,,,,,,
,,,,,,,,not sold,not sold,not sold,,,,,,,,,
,,,,,,,,,not sold,not sold,,,,,,,,,
,,,,,,,,,not sold,not sold,,,,,,,,,
